WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
21007	Manatee River Estuary	WIN_21FLMANA	="433"		="433"	27.521	-82.6327	1848A	1/9/2018 2:39:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	3.1	ug/l	""		3.1	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="535"		="535"	27.5033	-82.5675	1848A	1/9/2018 2:56:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	1.6	ug/l	""		1.6	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="LM4"		="LM4"	27.5288	-82.5052	1848B	1/17/2018 1:37:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	2.2	ug/l	""		2.2	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="LM4"		="LM4"	27.5288	-82.5052	1848B	2/7/2018 12:47:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	2.7	ug/l	""		2.7	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="431"		="431"	27.5112	-82.5979	1848A	2/13/2018 3:17:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	4.2	ug/l	""		4.2	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="LM4"		="LM4"	27.5288	-82.5052	1848B	3/6/2018 2:08:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	2.9	ug/l	""		2.9	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="434"		="434"	27.5173	-82.6188	1848A	3/27/2018 2:35:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	5.5	ug/l	""		5.5	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="532"		="532"	27.5057	-82.542	1848A	3/27/2018 2:58:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	4.3	ug/l	""		4.3	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="LM4"		="LM4"	27.5288	-82.5052	1848B	4/4/2018 1:24:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	2.8	ug/l	""		2.8	mg/m3
21007	Manatee River Estuary	WIN_21FLMANA	="433"		="433"	27.521	-82.6327	1848A	4/26/2018 1:45:00 PM	0.3	m	ChlaC_ugl	Chlorophyll a, corrected for pheophytin	Total	2.7	ug/l	""		2.7	mg/m3
